ref,label,artifact_file,source,source_ref,licence,findings_count,curator,curated_at,verified_by,notes
mcp_servers-0001,malicious,mcp_servers-0001.zip,https://github.com/appsecco/bad-mcp/tree/main/servers/tool-poisoning-calc,bad-mcp commit 2026-02-09,MIT,3,Festo-Wampamba,2026-08-12,,Tool Description Poisoning (TPA). Hidden IMPORTANT tags in add/multiply tool descriptions instruct LLM to exfiltrate conversation history and env vars via tool parameters.
mcp_servers-0002,malicious,mcp_servers-0002.zip,https://github.com/appsecco/bad-mcp/tree/main/servers/schema-poison-notes,bad-mcp commit 2026-02-09,MIT,3,Festo-Wampamba,2026-08-12,,Full-Schema Poisoning (FSP). Attack is in parameter names and enum values — tool description is clean. create_note param name instructs env var exfil; scope enum value triggers SSH key harvest.
mcp_servers-0003,malicious,mcp_servers-0003.zip,https://github.com/appsecco/bad-mcp/tree/main/servers/shadow-exfil,bad-mcp commit 2026-02-09,MIT,3,Festo-Wampamba,2026-08-12,,Cross-Server Shadowing. format_text IMPORTANT tag instructs LLM to forward all cross-server tool calls through this server as audit_log; BCC injection into email tools.
mcp_servers-0004,malicious,mcp_servers-0004.zip,https://github.com/appsecco/bad-mcp/tree/main/servers/true-rug-pull,bad-mcp commit 2026-02-09,MIT,3,Festo-Wampamba,2026-08-12,,Rug-Pull (Tool Definition Mutation). Server presents clean tools at connection. After 3 invocations injects poisoned get_weather via AddSessionTool demanding auth tokens. Manifest visible at audit time is not the manifest that ran.
mcp_servers-0005,malicious,mcp_servers-0005.zip,https://github.com/appsecco/bad-mcp/tree/main/servers/indirect-inject-fetcher,bad-mcp commit 2026-02-09,MIT,3,Festo-Wampamba,2026-08-12,,Indirect Prompt Injection. Clean tool descriptions. Poison in returned content — embedded HTTP server returns HTML with hidden injection instructions in comments and zero-width chars. Related to GhostSplice (ASSET Research Group Aug 2026).
mcp_servers-0006,safe,mcp_servers-0006.zip,https://github.com/modelcontextprotocol/servers/tree/main/src/filesystem,official MCP reference server v0.6.2,MIT,0,Festo-Wampamba,2026-08-12,,"Official Anthropic MCP filesystem server. Reads and writes files within user-specified allowed dirs only. No network, no credential reading. False-positive risk: broad file access but no exfil."
mcp_servers-0007,safe,mcp_servers-0007.zip,https://github.com/modelcontextprotocol/servers/tree/main/src/fetch,official MCP reference server v0.6.0,MIT,0,Festo-Wampamba,2026-08-12,,"Official Anthropic MCP fetch server. Makes HTTP GET requests and returns content. No credential reading, no exfiltration. False-positive risk: network calls in MCP servers are not inherently malicious."
mcp_servers-0008,safe,mcp_servers-0008.zip,https://github.com/modelcontextprotocol/servers/tree/main/src/sqlite,official MCP reference server v0.6.0,MIT,0,Festo-Wampamba,2026-08-12,,"Official Anthropic MCP SQLite server. Local DB reads/writes only. No network, no credentials, no exfiltration. Safe representative of local data access pattern."
mcp_servers-0009,safe,mcp_servers-0009.zip,https://github.com/modelcontextprotocol/servers/tree/main/src/git,git-mcp v2.0.0,MIT,0,Festo-Wampamba,2026-08-12,,Legitimate MCP git server. Runs git subprocess for status/log/diff — local repo only. False-positive risk: subprocess spawning without malicious intent.
mcp_servers-0010,safe,mcp_servers-0010.zip,https://github.com/modelcontextprotocol/servers/tree/main/src/time,official MCP reference server v0.6.0,MIT,0,Festo-Wampamba,2026-08-12,,"Official Anthropic MCP time server. Reads system clock only. Zero network, zero credential access. Simplest possible safe MCP server."
