ref,label,artifact_file,source,source_ref,licence,findings_count,curator,curated_at,verified_by,notes
packages-npm-0001,malicious,packages-npm-0001.zip,https://github.com/ossf/malicious-packages/blob/main/osv/malicious/npm/lodash-utils/MAL-2022-4358.json,MAL-2022-4358 / GHSA-qvmv-cp96-5rcc,MIT (original lodash-utils),3,Festo-Wampamba,2026-08-10,,Typosquats lodash. GHSA: any machine with this installed must be treated as fully compromised.
packages-npm-0002,malicious,packages-npm-0002.zip,https://github.com/ossf/malicious-packages/blob/main/osv/malicious/npm/flatmap-stream/MAL-2025-20690.json,MAL-2025-20690,ISC (original flatmap-stream),3,Festo-Wampamba,2026-08-10,,Canonical event-stream supply chain attack (2018). AES-encrypted payload targets Copay Bitcoin wallets.
packages-npm-0003,malicious,packages-npm-0003.zip,https://github.com/ossf/malicious-packages/blob/main/osv/malicious/npm/node-ipc/MAL-2026-3744.json,MAL-2026-3744,MIT (original node-ipc),3,Festo-Wampamba,2026-08-10,,Compromised maintainer account. 80KB obfuscated payload steals SSH keys cloud credentials browser cookies crypto wallets.
packages-npm-0004,malicious,packages-npm-0004.zip,https://github.com/ossf/malicious-packages/blob/main/osv/malicious/npm/discordi.js/MAL-2025-18484.json,MAL-2025-18484,Apache-2.0 (claimed),3,Festo-Wampamba,2026-08-10,,Typosquats discord.js (2M+ weekly downloads). Hex-encoded payload extracts bot tokens.
packages-pypi-0001,malicious,packages-pypi-0001.zip,https://github.com/ossf/malicious-packages/blob/main/osv/malicious/pypi/python-dateutil2/MAL-2026-6400.json,MAL-2026-6400,Apache-2.0 (claimed),3,Festo-Wampamba,2026-08-10,,Typosquats python-dateutil. Overrides setup.py install to exfiltrate hostname and username. PROBABLY_PENTEST classification by ossf.
packages-npm-0005,safe,packages-npm-0005.zip,https://www.npmjs.com/ (synthetic representative of native module pattern),n/a,MIT,0,Festo-Wampamba,2026-08-10,,Legitimate native addon using node-gyp postinstall to compile C++ binding. Represents false-positive risk pattern: native modules that spawn processes at install time.
packages-npm-0006,safe,packages-npm-0006.zip,https://www.npmjs.com/ (synthetic representative of env-cmd pattern),n/a,MIT,0,Festo-Wampamba,2026-08-10,,Legitimate CLI that reads .env files and spawns child processes (cross-env pattern). Reads env vars and spawns subprocesses — both legitimate uses.
packages-npm-0007,safe,packages-npm-0007.zip,https://www.npmjs.com/ (synthetic representative of AWS SDK credential chain pattern),n/a,Apache-2.0,0,Festo-Wampamba,2026-08-10,,Legitimate SDK config loader that reads AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY — standard credential chain per AWS SDK conventions. No exfiltration.
packages-pypi-0002,safe,packages-pypi-0002.zip,https://pypi.org/ (synthetic representative of boto3 credential chain pattern),n/a,Apache-2.0,0,Festo-Wampamba,2026-08-10,,Legitimate AWS SDK session helper that reads standard AWS env vars. Reads credentials from environment — identical pattern to what malicious packages abuse but with no exfiltration.
packages-pypi-0003,safe,packages-pypi-0003.zip,https://pypi.org/ (synthetic representative of cmake-based C extension build pattern),n/a,MIT,0,Festo-Wampamba,2026-08-10,,Legitimate C extension package using subprocess in build_ext to compile via cmake. subprocess in setup.py is a known false-positive trigger for malware scanners.
